ID		homework	lab	midterm		final		overall average
xxx6807		89.0		93.0	  78.0		50.0		70.9
xxx1272		84.0		78.0	  59.0		59.0		65.3
xxx4440		85.0		82.0	  37.0		37.0		50.8
xxx2503		87.0		89.0	  82.0		82.0		83.9
xxx4303		89.0		79.0	  80.0		80.0		80.7
xxx0933		99.0		88.0	  95.0		95.0		94.0
xxx9097		86.0		72.0	  87.0		80.0		81.1
xxx7633		99.0		89.0	  41.0		41.0		56.4
xxx1967		92.0		83.0	  95.0		95.0		92.3
xxx1745		88.0		71.0	  67.0		67.0		69.9
xxx5001		93.0		98.0	  58.0		58.0		69.5
xxx1490		84.0		96.0	  93.0		93.0		92.7
xxx7722		86.0		79.0	  44.0		31.0		50.0
xxx6853		97.0		88.0	  88.0		33.0		66.9
xxx0298		81.0		95.0	  65.0		65.0		72.6
xxx9814		83.0		76.0	  85.0		49.0		68.6
xxx4115		94.0		79.0	  87.0		87.0		86.1
xxx4195		85.0		84.0	  68.0		68.0		72.9
xxx2188		83.0		75.0	  42.0		42.0		52.7
xxx1566		96.0		97.0	  58.0		54.0		68.0
xxx1501		97.0		81.0	  88.0		57.0		75.1
xxx9358		97.0		97.0	  74.0		64.0		76.9
xxx1609		91.0		75.0	  75.0		75.0		76.6
xxx6298		82.0		89.0	  72.0		72.0		76.4
xxx0260		97.0		94.0	  95.0		95.0		95.0
xxx5968		93.0		80.0	  66.0		42.0		61.9
xxx7942		85.0		92.0	  87.0		87.0		87.8
xxx3821		95.0		92.0	  91.0		81.0		87.6
xxx8590		91.0		78.0	  96.0		96.0		91.9
xxx9790		80.0		89.0	  75.0		56.0		70.7
xxx7972		98.0		85.0	  59.0		54.0		66.1
xxx5223		89.0		90.0	  76.0		76.0		80.1
xxx6123		86.0		93.0	  70.0		58.0		71.4
xxx9094		80.0		84.0	  94.0		94.0		90.6
xxx5226		94.0		83.0	  38.0		34.0		51.0
xxx9590		90.0		79.0	  83.0		77.0		80.5
xxx7385		97.0		72.0	  87.0		87.0		85.0
xxx2385		96.0		95.0	  90.0		90.0		91.6
xxx8144		88.0		95.0	  95.0		45.0		74.3
xxx3534		82.0		81.0	  59.0		32.0		54.9
xxx5244		95.0		78.0	  96.0		62.0		78.7
xxx1815		91.0		93.0	  77.0		77.0		81.6
xxx9553		87.0		75.0	  72.0		72.0		74.1
xxx0211		88.0		77.0	  61.0		45.0		60.5
xxx7335		88.0		75.0	  97.0		97.0		91.7
xxx7439		94.0		91.0	  96.0		51.0		76.8
xxx8872		80.0		84.0	  85.0		85.0		84.3
xxx9789		87.0		85.0	  79.0		79.0		81.0
xxx5680		95.0		85.0	  86.0		53.0		73.5
xxx3502		96.0		98.0	  81.0		81.0		85.9
xxx7844		98.0		88.0	  97.0		91.0		92.9
xxx4849		83.0		81.0	  74.0		74.0		76.3
xxx5419		95.0		99.0	  99.0		99.0		98.6
xxx5223		94.0		80.0	  75.0		75.0		77.9
xxx7317		85.0		90.0	  84.0		84.0		85.3
xxx0597		88.0		94.0	  70.0		70.0		76.6
xxx1976		92.0		74.0	  97.0		74.0		82.7
xxx8381		88.0		85.0	  79.0		79.0		81.1
xxx8209		89.0		73.0	  97.0		97.0		91.4
xxx4607		93.0		72.0	  86.0		86.0		83.9
xxx0053		84.0		80.0	  80.0		80.0		80.4
xxx0444		90.0		85.0	  98.0		98.0		94.6
xxx8155		93.0		87.0	  88.0		88.0		88.3
xxx8266		97.0		71.0	  64.0		64.0		68.7
xxx4819		97.0		93.0	  60.0		60.0		70.3
xxx8762		93.0		87.0	  51.0		38.0		57.2
xxx0589		93.0		97.0	  44.0		38.0		57.1
xxx1200		94.0		90.0	  67.0		67.0		74.3
xxx5480		90.0		85.0	  86.0		77.0		82.6
xxx1238		80.0		86.0	  95.0		37.0		68.5
xxx1113		94.0		93.0	  44.0		44.0		58.8
xxx8418		97.0		85.0	  75.0		75.0		79.2
xxx6563		82.0		77.0	  39.0		39.0		50.9
xxx2967		87.0		99.0	  63.0		63.0		72.6
xxx4473		83.0		88.0	  85.0		58.0		74.6
xxx3459		86.0		90.0	  84.0		42.0		68.6
xxx0973		83.0		97.0	  30.0		30.0		48.7
xxx5231		80.0		83.0	  90.0		90.0		87.6
xxx2533		98.0		93.0	  56.0		50.0		65.2
xxx3934		80.0		89.0	  92.0		74.0		83.0
xxx3549		82.0		99.0	  71.0		30.0		61.3
xxx5879		83.0		80.0	  63.0		63.0		68.4
xxx3650		91.0		79.0	  98.0		66.0		80.7
xxx0299		90.0		71.0	  76.0		74.0		75.6
xxx8244		98.0		76.0	  71.0		34.0		59.9
xxx1560		98.0		91.0	  43.0		43.0		58.1
xxx9551		81.0		75.0	  60.0		48.0		60.3
xxx9274		89.0		73.0	  60.0		55.0		63.5
xxx2012		83.0		98.0	  68.0		68.0		75.5
xxx1550		84.0		85.0	  77.0		41.0		64.9
xxx5690		86.0		90.0	  53.0		33.0		55.7
xxx9565		80.0		72.0	  63.0		52.0		62.1
xxx7307		81.0		90.0	  99.0		99.0		95.4
xxx3127		91.0		97.0	  45.0		45.0		60.0
xxx6641		97.0		78.0	  55.0		55.0		63.8
xxx5974		85.0		93.0	  80.0		51.0		71.5
xxx9239		94.0		95.0	  73.0		73.0		79.5
xxx4189		86.0		96.0	  90.0		90.0		90.8
xxx5898		92.0		70.0	  56.0		40.0		56.0
xxx8867		92.0		89.0	  81.0		81.0		83.7
xxx0811		96.0		81.0	  58.0		58.0		66.4
xxx6671		81.0		85.0	  70.0		70.0		74.1
xxx7158		93.0		87.0	  90.0		51.0		74.1
xxx5563		94.0		83.0	  77.0		77.0		79.9
xxx8795		91.0		92.0	  96.0		66.0		82.7
xxx8515		84.0		81.0	  77.0		61.0		72.1
xxx7103		84.0		88.0	  76.0		71.0		77.2
xxx7015		90.0		86.0	  85.0		53.0		72.9
xxx7781		80.0		91.0	  69.0		45.0		64.9
xxx5827		96.0		78.0	  84.0		84.0		84.0
xxx0167		89.0		96.0	  76.0		76.0		81.3
xxx8666		87.0		90.0	  44.0		41.0		56.3
xxx5210		98.0		91.0	  88.0		88.0		89.6
xxx5718		94.0		95.0	  67.0		39.0		64.1
xxx9818		94.0		85.0	  78.0		78.0		81.0
xxx3029		94.0		87.0	  74.0		74.0		78.6
xxx6540		96.0		85.0	  63.0		48.0		64.7
xxx6865		91.0		82.0	  66.0		66.0		71.7
xxx7237		95.0		95.0	  90.0		75.0		85.5
xxx8192		90.0		97.0	  97.0		39.0		73.1
xxx8447		95.0		73.0	  79.0		39.0		63.4
xxx5164		99.0		91.0	  99.0		99.0		97.4
xxx4958		93.0		70.0	  90.0		90.0		86.3
xxx5217		86.0		78.0	  58.0		58.0		64.8
xxx5936		81.0		99.0	  57.0		57.0		67.8
xxx3788		99.0		97.0	  95.0		95.0		95.8
xxx3912		84.0		79.0	  94.0		94.0		90.0
xxx2667		99.0		75.0	  36.0		36.0		50.1
xxx6661		85.0		99.0	  83.0		83.0		86.4
xxx2698		98.0		99.0	  43.0		43.0		59.7
xxx0679		85.0		81.0	  47.0		44.0		56.4
xxx4365		81.0		74.0	  86.0		30.0		60.7
xxx1703		92.0		82.0	  81.0		44.0		67.5
xxx1977		97.0		80.0	  85.0		85.0		85.2
xxx4747		82.0		89.0	  86.0		86.0		86.2
xxx4048		82.0		99.0	  99.0		68.0		84.9
xxx5903		97.0		91.0	  92.0		76.0		85.9
xxx8621		97.0		96.0	  95.0		80.0		89.4
xxx1494		95.0		71.0	  93.0		93.0		88.8
xxx1427		92.0		74.0	  91.0		38.0		66.5
xxx9152		96.0		80.0	  83.0		49.0		70.1
xxx2914		99.0		86.0	  95.0		51.0		76.0
xxx6043		92.0		86.0	  59.0		50.0		64.1
xxx8410		83.0		99.0	  53.0		53.0		65.2
xxx7311		91.0		92.0	  76.0		69.0		77.9
xxx6971		99.0		90.0	  96.0		31.0		69.1
xxx2857		93.0		98.0	  90.0		90.0		91.9
xxx7683		96.0		99.0	  74.0		74.0		81.2
xxx4711		84.0		76.0	  40.0		40.0		51.6
xxx0522		84.0		90.0	  33.0		33.0		49.5
